Iteration,Datum,Verbrannt (BURNI),Versperrt (BURNI),Restbetrag (BURNI)
1,01.06.2025,15000,9700,475300
2,04.06.2025,14259,9221,451820
3,07.06.2025,13555,8765,429500
4,10.06.2025,12885,8332,408283
5,13.06.2025,12248,7921,388114
6,16.06.2025,11643,7529,368942
7,19.06.2025,11068,7157,350717
8,22.06.2025,10522,6804,333391
9,25.06.2025,10002,6468,316921
10,28.06.2025,9508,6148,301265
11,01.07.2025,9038,5845,286382
12,04.07.2025,8591,5556,272235
13,07.07.2025,8167,5281,258787
14,10.07.2025,7764,5020,246003
15,13.07.2025,7380,4772,233851
16,16.07.2025,7016,4537,222298
17,19.07.2025,6669,4313,211316
18,22.07.2025,6339,4100,200877
19,25.07.2025,6026,3897,190954
20,28.07.2025,5729,3705,181520
21,31.07.2025,5446,3521,172553
22,03.08.2025,5177,3348,164028
23,06.08.2025,4921,3182,155925
24,09.08.2025,4678,3025,148222
25,12.08.2025,4447,2876,140899
26,15.08.2025,4227,2733,133939
27,18.08.2025,4018,2598,127323
28,21.08.2025,3820,2470,121033
29,24.08.2025,3631,2348,115054
30,27.08.2025,3452,2232,109370
31,30.08.2025,3281,2122,103967
32,02.09.2025,3119,2017,98831
33,05.09.2025,2965,1917,93949
34,08.09.2025,2818,1823,89308
35,11.09.2025,2679,1733,84896
36,14.09.2025,2547,1647,80702
37,17.09.2025,2421,1566,76715
38,20.09.2025,2301,1488,72926
39,23.09.2025,2188,1415,69323
40,26.09.2025,2080,1345,65898
41,29.09.2025,1977,1278,62643
42,02.10.2025,1879,1215,59549
43,05.10.2025,1786,1155,56608
44,08.10.2025,1698,1098,53812
45,11.10.2025,1614,1044,51154
46,14.10.2025,1535,992,48627
47,17.10.2025,1459,943,46225
48,20.10.2025,1387,897,43941
49,23.10.2025,1318,852,41771
50,26.10.2025,1253,810,39708
51,28.10.2025,1191,770,37747
52,31.10.2025,1132,732,35883
53,03.11.2025,1076,696,34111
54,06.11.2025,1023,662,32426
55,09.11.2025,973,629,30824
56,12.11.2025,925,598,29301
57,15.11.2025,879,568,27854
58,18.11.2025,836,540,26478
59,21.11.2025,794,514,25170
60,24.11.2025,755,488,23927
61,27.11.2025,718,464,22745
62,30.11.2025,682,441,21622
63,03.12.2025,649,419,20554
64,06.12.2025,617,399,19538
65,09.12.2025,586,379,18573
66,12.12.2025,557,360,17656
67,15.12.2025,530,343,16783
68,18.12.2025,503,326,15954
69,21.12.2025,479,310,15165
70,24.12.2025,455,294,14416
71,27.12.2025,432,280,13704
72,30.12.2025,411,266,13027
73,02.01.2026,391,253,12383
74,05.01.2026,371,240,11772
75,08.01.2026,353,228,11191
76,11.01.2026,336,217,10638
77,14.01.2026,319,206,10113
78,17.01.2026,303,196,9614
79,20.01.2026,288,187,9139
80,23.01.2026,274,177,8688
81,26.01.2026,261,169,8258
82,29.01.2026,248,160,7850
83,01.02.2026,236,152,7462
84,04.02.2026,224,145,7093
85,07.02.2026,213,138,6742
86,10.02.2026,202,131,6409
87,13.02.2026,192,124,6093
88,16.02.2026,183,118,5792
89,19.02.2026,174,112,5506
90,22.02.2026,165,107,5234
91,25.02.2026,157,102,4975
92,28.02.2026,149,97,4729
93,03.03.2026,142,92,4495
94,06.03.2026,135,87,4273
95,09.03.2026,128,83,4062
96,12.03.2026,122,79,3861
97,15.03.2026,116,75,3670
98,18.03.2026,110,71,3489
99,21.03.2026,105,68,3316
100,24.03.2026,99,64,3153
101,27.03.2026,95,61,2997
102,31.03.2026,90,58,2849
103,03.04.2026,85,55,2709
104,06.04.2026,81,53,2575
105,09.04.2026,77,50,2448
106,12.04.2026,73,48,2327
107,15.04.2026,70,45,2212
108,18.04.2026,66,43,2103
109,21.04.2026,63,41,1999
110,24.04.2026,60,39,1900
111,27.04.2026,57,37,1806
112,30.04.2026,54,35,1717
113,03.05.2026,52,33,1632
114,06.05.2026,49,32,1551
115,09.05.2026,47,30,1474
116,12.05.2026,44,29,1401
117,15.05.2026,42,27,1332
118,18.05.2026,40,26,1266
119,21.05.2026,38,25,1203
120,24.05.2026,36,23,1144
121,27.05.2026,34,22,1088
122,30.05.2026,33,21,1034
123,02.06.2026,31,20,983
124,05.06.2026,29,19,935
125,08.06.2026,28,18,889
126,11.06.2026,27,17,845
127,14.06.2026,25,16,804
128,17.06.2026,24,16,764
129,20.06.2026,23,15,726
130,23.06.2026,22,14,690
131,26.06.2026,21,13,656
132,29.06.2026,20,13,623
133,02.07.2026,19,12,592
134,05.07.2026,18,11,563
135,08.07.2026,17,11,535
136,11.07.2026,16,10,509
137,14.07.2026,15,10,484
138,17.07.2026,15,9,460
139,20.07.2026,14,9,437
140,23.07.2026,13,8,416
141,26.07.2026,12,8,396
142,29.07.2026,12,8,376
143,01.08.2026,11,7,358
144,04.08.2026,11,7,340
145,07.08.2026,10,7,323
146,10.08.2026,10,6,307
147,13.08.2026,9,6,292
148,16.08.2026,9,6,277
149,19.08.2026,8,5,264
150,22.08.2026,8,5,251
151,25.08.2026,8,5,238
152,28.08.2026,7,5,226
153,31.08.2026,7,4,215
154,03.09.2026,6,4,205
155,06.09.2026,6,4,195
156,09.09.2026,6,4,185
157,12.09.2026,6,4,175
158,15.09.2026,5,3,167
159,18.09.2026,5,3,159
160,21.09.2026,5,3,151
161,24.09.2026,5,3,143
162,27.09.2026,4,3,136
163,30.09.2026,4,3,129
164,03.10.2026,4,3,122
165,06.10.2026,4,2,116
166,09.10.2026,3,2,111
167,12.10.2026,3,2,106
168,15.10.2026,3,2,101
169,18.10.2026,3,2,96
170,21.10.2026,3,2,91
171,24.10.2026,3,2,86
172,26.10.2026,3,2,81
173,29.10.2026,2,2,77
174,01.11.2026,2,2,73
175,04.11.2026,2,1,70
176,07.11.2026,2,1,67
177,10.11.2026,2,1,64
178,13.11.2026,2,1,61
179,16.11.2026,2,1,58
180,19.11.2026,2,1,55
181,22.11.2026,2,1,52
182,25.11.2026,2,1,49
183,28.11.2026,1,1,47
184,01.12.2026,1,1,45
185,04.12.2026,1,1,43
186,07.12.2026,1,1,41
187,10.12.2026,1,1,39
188,13.12.2026,1,1,37
189,16.12.2026,1,1,35
190,19.12.2026,1,1,33
191,22.12.2026,1,1,31
192,25.12.2026,1,1,29
193,28.12.2026,1,1,27
194,31.12.2026,1,1,25
195,03.01.2027,1,0,24
196,06.01.2027,1,0,23
197,09.01.2027,1,0,22
198,12.01.2027,1,0,21
199,15.01.2027,1,0,20
200,18.01.2027,1,0,19
201,21.01.2027,1,0,18
202,24.01.2027,1,0,17
203,27.01.2027,1,0,16
204,30.01.2027,0,0,16
205,02.02.2027,0,0,16
206,05.02.2027,0,0,16
207,08.02.2027,0,0,16
208,11.02.2027,0,0,16
209,14.02.2027,0,0,16
210,17.02.2027,0,0,16
211,20.02.2027,0,0,16
212,23.02.2027,0,0,16
213,26.02.2027,0,0,16
214,01.03.2027,0,0,16
215,04.03.2027,0,0,16
216,07.03.2027,0,0,16
217,10.03.2027,0,0,16
218,13.03.2027,0,0,16
219,16.03.2027,0,0,16
220,19.03.2027,0,0,16
221,22.03.2027,0,0,16
222,25.03.2027,0,0,16
223,29.03.2027,0,0,16
224,01.04.2027,0,0,16
225,04.04.2027,0,0,16
226,07.04.2027,0,0,16
227,10.04.2027,0,0,16
228,13.04.2027,0,0,16
229,16.04.2027,0,0,16
230,19.04.2027,0,0,16
231,22.04.2027,0,0,16
232,25.04.2027,0,0,16
233,28.04.2027,0,0,16
234,01.05.2027,0,0,16
235,04.05.2027,0,0,16
236,07.05.2027,0,0,16
237,10.05.2027,0,0,16
238,13.05.2027,0,0,16
239,16.05.2027,0,0,16
240,19.05.2027,0,0,16
241,22.05.2027,0,0,16
242,25.05.2027,0,0,16
243,28.05.2027,0,0,16
244,31.05.2027,0,0,16
245,03.06.2027,0,0,16
246,06.06.2027,0,0,16
247,09.06.2027,0,0,16
248,12.06.2027,0,0,16
249,15.06.2027,0,0,16
250,18.06.2027,0,0,16
251,21.06.2027,0,0,16
252,24.06.2027,0,0,16
253,27.06.2027,0,0,16
254,30.06.2027,0,0,16
255,03.07.2027,0,0,16
256,06.07.2027,0,0,16
